year,2007.0,2007.0,2007.0,2007.0,2010.0,2010.0,2010.0,2010.0,2012.0,2012.0,2012.0,2012.0,2014.0,2014.0,2014.0,2014.0,2016.0,2016.0,2016.0,2016.0
,count,mean_w,sem_w,stdev_w,count,mean_w,sem_w,stdev_w,count,stdev_w,mean_w,sem_w,count,mean_w,stdev_w,sem_w,mean_w,count,sem_w,stdev_w
Aquifer basin,,,,,,,,,,,,,,,,,,,,
Arava,48.0,5.8,0.0,0.0,46.0,6.6,0.0,0.0,42.0,0.0,1.8,0.0,48.0,2.5,0.0,0.0,3.0,44.0,0.0,0.0
Carmel,93.0,9.9,0.0,0.0,228.0,4.9,0.1,0.4,266.0,0.5,4.3,0.1,313.0,6.2,0.0,0.0,4.9,337.0,0.0,0.0
Central Negev,11.0,5.4,0.0,0.0,11.0,3.3,0.6,1.4,23.0,0.3,2.4,0.2,73.0,2.7,0.0,0.0,2.3,123.0,0.0,0.0
Coastal,1440.0,6.3,0.1,1.1,1985.0,3.2,0.0,0.6,2237.0,0.9,3.2,0.0,2073.0,3.4,0.8,0.0,3.3,2322.0,0.1,1.2
Eastern Mount,685.0,10.7,0.1,1.3,953.0,6.0,0.1,1.5,1365.0,1.9,6.5,0.1,1436.0,8.1,1.2,0.0,5.9,1394.0,0.1,1.2
Eastern Negev,33.0,5.7,0.1,0.2,37.0,5.1,0.5,1.9,49.0,0.4,2.1,0.1,93.0,2.6,0.2,0.0,2.7,112.0,0.1,0.7
Kinneret,622.0,7.8,0.0,0.0,639.0,4.7,0.0,0.6,928.0,0.7,8.9,0.0,530.0,7.7,0.5,0.0,6.5,245.0,0.0,0.2
West Galilee,426.0,9.9,0.0,0.4,546.0,4.9,0.1,1.1,673.0,0.9,4.8,0.0,725.0,6.6,1.5,0.1,5.2,726.0,0.1,0.8
Western Negev,592.0,5.4,0.0,0.0,613.0,2.8,0.0,0.5,637.0,0.0,2.6,0.0,610.0,2.7,0.4,0.0,2.3,753.0,0.0,0.4
Yartan,635.0,8.1,0.2,1.9,772.0,4.0,0.1,0.8,903.0,0.9,4.0,0.1,886.0,4.3,1.0,0.1,4.3,942.0,0.1,1.1
